warehouse,day,sourceCell,rawName,canonicalName,customerCode,status,routeType,notes
CAO_LANH,THỨ 6,F7,SÔNG ĐỐC,YAGAMI SÔNG ĐỐC,KH000085,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 7,G7,TÂN THẠNH,YAGAMI TÂN THẠNH,KH000188,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,GỬI XE NGOÀI,I7,HAKIMI VL,HAKIMI VĨNH LONG,KH000043,ACTIVE,EXTERNAL_VEHICLE,
CAO_LANH,THỨ 2,B8,TÂN HƯNG,YAGAMI TÂN HƯNG,KH000111,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 3,C8,CAI LẬY,YAGAMI CAI LẬY,KH000004,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 4,D8,NHÀ BÀNG,YAGAMI NHÀ BÀNG,KH000081,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 5,E8,MỘT NGÀN,YAGAMI MỘT NGÀN,KH000149,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 6,F8,ĐẦM DƠI,YAGAMI ĐẦM DƠI,KH000100,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 7,G8,THÁP MƯỜI,YAGAMI THÁP MƯỜI,KH000083,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,GỬI XE NGOÀI,I8,XÉM NƯỚNG,XÉM NƯỚNG,KH000189,ACTIVE,EXTERNAL_VEHICLE,
CAO_LANH,THỨ 2,B9,VĨNH HƯNG,YAGAMI VĨNH HƯNG,KH000122,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 3,C9,MỸ THO,YAGAMI MỸ THO,KH000049,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 4,D9,HÒN ĐẤT,YAGAMI HÒN ĐẤT,KH000084,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 5,E9,TRUNG AN,YAGAMI TRUNG AN,KH000154,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 6,F9,THỚI BÌNH,YAGAMI THỚI BÌNH,KH000150,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 7,G9,TRƯỜNG XUÂN,YAGAMI TRƯỜNG XUÂN,KH000211,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,GỬI XE NGOÀI,I9,ÔNG BẦU,YAGAMI ÔNG BẦU,KH000172,ACTIVE,EXTERNAL_VEHICLE,
CAO_LANH,THỨ 2,B10,AN PHONG,YAGAMI AN PHONG,KH000144,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 3,C10,CHỢ GẠO,YAGAMI CHỢ GẠO,KH000094,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 4,D10,AN CHÂU,YAGAMI AN CHÂU,KH000090,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 5,E10,Ô MÔN,YAGAMI Ô MÔN,KH000163,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 6,F10,NGAN DỪA,YAGAMI NGAN DỪA,KH000165,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 7,G10,PHÚ TÂN,YAGAMI PHÚ TÂN,KH000028,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,GỬI XE NGOÀI,I10,TÂN BÌNH,YAGAMI TÂN BÌNH,KH000009,ACTIVE,EXTERNAL_VEHICLE,
CAO_LANH,THỨ 2,B11,BÌNH MINH,YAGAMI BÌNH MINH,KH000124,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 3,C11,VĨNH BÌNH,YAGAMI VĨNH BÌNH (GCT),KH000151,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 4,D11,TÂN HIỆP,YAGAMI TÂN HIỆP,KH000091,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 5,E11,NÀNG MAU,YAGAMI NÀNG MAU,KH000093,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 6,F11,CÁI NƯỚC,YAGAMI CÁI NƯỚC,KH000143,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 7,G11,CHỢ MỚI,YAGAMI CHỢ MỚI,KH000029,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,GỬI XE NGOÀI,I11,TÂN THÀNH,YAGAMI NGÃ NĂM - TÂN THÀNH,KH000186,ACTIVE,EXTERNAL_VEHICLE,
CAO_LANH,THỨ 2,B12,BÌNH TÂN,YAGAMI BÌNH TÂN - VL,KH000136,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 3,C12,GÒ CÔNG,YAGAMI GÒ CÔNG,KH000160,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 4,D12,PHÚ HÒA,YAGAMI PHÚ HÒA - AN GIANG,KH000101,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 5,E12,PHONG ĐIỀN,YAGAMI PHONG ĐIỀN,KH000108,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 6,F12,AN BIÊN,YAGAMI AN BIÊN,KH000069,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 7,G12,MỸ LUÔNG,YAGAMI MỸ LUÔNG,KH000030,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,GỬI XE NGOÀI,I12,PHÚ QUỐC,YAGAMI PHÚ QUỐC,KH000110,ACTIVE,EXTERNAL_VEHICLE,
CAO_LANH,THỨ 2,B13,TAM BÌNH,YAGAMI TAM BÌNH,KH000139,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 3,C13,GÒ ĐEN,YAGAMI GÒ ĐEN,KH000073,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 4,D13,AN PHÚ,YAGAMI AN PHÚ,KH000113,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 5,E13,TIÊU CẦN,YAGAMI TIỂU CẦN,KH000086,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 6,F13,VĨNH THUẬN,YAGAMI VĨNH THUẬN,KH000169,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 7,G13,LONG MỸ,YAGAMI LONG MỸ,KH000016,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,GỬI XE NGOÀI,I13,CAO LÃNH,YAGAMI CAO LÃNH,KH000001,ACTIVE,EXTERNAL_VEHICLE,
CAO_LANH,THỨ 2,B14,VĨNH LONG,YAGAMI VĨNH LONG,KH000114,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 3,C14,CẦN ĐƯỚC,YAGAMI CẦN ĐƯỚC,KH000115,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 4,D14,CHÂU PHÚ,YAGAMI CHÂU PHÚ,KH000117,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 5,E14,TRÀ ÔN,YAGAMI TRÀ ÔN,KH000047,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 6,F14,NGÃ 7,YAGAMI NGÃ 7 HẬU GIANG,KH000032,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 7,G14,NGÃ 5 SÓC TRĂNG,YAGAMI NGÃ NĂM,KH000017,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,GỬI XE NGOÀI,I14,CHIBA CAO LÃNH,CHIBA CAO LÃNH,KH000198,ACTIVE,EXTERNAL_VEHICLE,
CAO_LANH,THỨ 2,B15,KẾ SÁCH,YAGAMI KẾ SÁCH,KH000187,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 3,C15,TÂN AN,YAGAMI TÂN AN,KH000006,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 4,D15,QUỐC THÁI,YAGAMI QUỐC THÁI,KH000118,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 5,E15,KHO TRÀ VINH,Kho Tổng Trà Vinh,KH000068,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 6,F15,CÁI TẮC,YAGAMI CÁI TẮC,KH000077,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 7,G15,PHÚ LỘC,YAGAMI PHÚ LỘC,KH000209,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 2,B16,MÁI DẦM,YAGAMI MÁI DẦM,KH000161,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 3,C16,TÂN HƯƠNG,YAGAMI TÂN HƯƠNG,KH000183,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 4,D16,GÒ QUAO,YAGAMI GÒ QUAO,KH000127,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 5,E16,TP CẦN THƠ,YAGAMI TP.CẦN THƠ,KH000204,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 6,F16,CHÂU THÀNH - ST,YAGAMI CHÂU THÀNH - SÓC TRĂNG,KH000141,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 7,G16,HÒA BÌNH,YAGAMI HÒA BÌNH,KH000089,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 2,B17,NGÃ 6,YAGAMI NGÃ SÁU,KH000170,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 3,C17,CHỢ LÁCH,YAGAMI CHỢ LÁCH - BẾN TRE,KH000002,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 4,D17,GIỒNG RIỀNG,YAGAMI GIỒNG RIỀNG,KH000138,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 6,F17,TRẦN VĂN THỜI,YAGAMI TRẦN VĂN THỜI,KH000180,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 7,G17,BẠC LIÊU,YAGAMI BẠC LIÊU,KH000193,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 2,B18,LONG PHÚ,YAGAMI LONG PHÚ,KH000197,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 3,C18,GIỒNG TRÔM,YAGAMI GIỒNG TRÔM,KH000214,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 4,D18,RẠCH SỎI,YAGAMI RẠCH SỎI,KH000145,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 6,F18,T.T THỨ 11,YAGAMI TT. THỨ 11,KH000202,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 7,G18,CHỢ VÀM,YAGAMI CHỢ VÀM,KH000213,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 2,B19,VĨNH CHÂU,YAGAMI VĨNH CHÂU,KH000074,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 3,C19,CHÂU ĐỐC,YAGAMI CHÂU ĐỐC,KH000033,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 4,D19,HÀ TIÊN,YAGAMI HÀ TIÊN,KH000146,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 6,F19,TẮC VÂN,YAGAMI TẮC VÂN,KH000176,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 2,B20,TRẦN ĐỀ,YAGAMI TRẦN ĐỀ,KH000105,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 3,C20,CHIBA TÂN CHÂU,CHIBA TÂN CHÂU,KH000216,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 4,D20,VĨNH THẠNH,YAGAMI VĨNH THẠNH,KH000147,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 6,F20,H.HỮU NGHĨA,YAGAMI HUỲNH HỮU NGHĨA,KH000191,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 2,B21,AN THẠNH,YAGAMI AN THẠNH,KH000205,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 3,C21,TÂN CHÂU - AG,YAGAMI TÂN CHÂU - AG,KH000133,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 4,D21,CHI LĂNG,YAGAMI CHI LĂNG,KH000164,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 6,F21,PHÚ TÂM,YAGAMI PHÚ TÂM,KH000206,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 3,C22,GIA THUẬN,YAGAMI GIA THUẬN,KH000223,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 4,D22,CẦN ĐĂNG,YAGAMI CẦN ĐĂNG,KH000175,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 6,F22,CÂY DƯƠNG,YAGAMI CÂY DƯƠNG,KH000218,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 4,D23,ÓC EO,YAGAMI ÓC EO,KH000181,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 6,F23,SÓC TRĂNG,YAGAMI SÓC TRĂNG,KH000102,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 4,D24,MINH LƯƠNG,YAGAMI MINH LƯƠNG,KH000178,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 6,F24,SA ĐÉC,YAGAMI SA ĐÉC,KH000018,ACTIVE,SCHEDULED_TRUCK,
CAO_LANH,THỨ 6,F25,GÀNH HÀO,YAGAMI GÀNH HÀO,KH000088,ACTIVE,SCHEDULED_TRUCK,
BINH_DUONG,THỨ 2,B37,BÀU BÀNG,YAGAMI BÀU BÀNG,KH000162,ACTIVE,SCHEDULED_TRUCK,
BINH_DUONG,THỨ 3,C37,PHAN RANG,YAGAMI PHAN RANG,KH000140,ACTIVE,SCHEDULED_TRUCK,
BINH_DUONG,THỨ 4,D37,THỐNG NHẤT,YAGAMI THỐNG NHẤT,KH000131,ACTIVE,SCHEDULED_TRUCK,
BINH_DUONG,THỨ 5,E37,NGÃI GIAO,YAGAMI NGÃI GIAO,KH000037,ACTIVE,SCHEDULED_TRUCK,
BINH_DUONG,THỨ 6,F37,CỦ CHI,YAGAMI CỦ CHI,KH000130,ACTIVE,SCHEDULED_TRUCK,
BINH_DUONG,THỨ 2,B38,CHƠN THÀNH,YAGAMI CHƠN THÀNH,KH000137,ACTIVE,SCHEDULED_TRUCK,
BINH_DUONG,THỨ 3,C38,PHAN THIẾT,YAGAMI PHAN THIẾT,KH000135,ACTIVE,SCHEDULED_TRUCK,
BINH_DUONG,THỨ 4,D38,ĐỊNH QUÁN,YAGAMI ĐỊNH QUÁN,KH000196,ACTIVE,SCHEDULED_TRUCK,
BINH_DUONG,THỨ 5,E38,PHÚ MỸ,YAGAMI PHÚ MỸ,KH000116,ACTIVE,SCHEDULED_TRUCK,
BINH_DUONG,THỨ 6,F38,TRẢNG BÀNG,YAGAMI TRẢNG BÀNG,KH000092,ACTIVE,SCHEDULED_TRUCK,
BINH_DUONG,THỨ 2,B39,BÌNH LONG,YAGAMI BÌNH LONG,KH000153,ACTIVE,SCHEDULED_TRUCK,
BINH_DUONG,THỨ 3,C39,LAGI,YAGAMI LAGI,KH000119,ACTIVE,SCHEDULED_TRUCK,
BINH_DUONG,THỨ 4,D39,TRẢNG BOM,YAGAMI TRẢNG BOM,KH000157,ACTIVE,SCHEDULED_TRUCK,
BINH_DUONG,THỨ 5,E39,ĐẠI PHƯỚC,YAGAMI ĐẠI PHƯỚC,KH000184,ACTIVE,SCHEDULED_TRUCK,
BINH_DUONG,THỨ 6,F39,GÒ DẦU,YAGAMI GÒ DẦU,KH000035,ACTIVE,SCHEDULED_TRUCK,
BINH_DUONG,THỨ 2,B40,LỘC NINH,YAGAMI LỘC NINH,,PLANNED_NOT_IN_KIOTVIET,SCHEDULED_TRUCK,"New branch, planned opening; create KiotViet customer later."
BINH_DUONG,THỨ 3,C40,XUYÊN MỘC,YAGAMI XUYÊN MỘC,KH000106,ACTIVE,SCHEDULED_TRUCK,
BINH_DUONG,THỨ 4,D40,ĐỨC TRỌNG,YAGAMI ĐỨC TRỌNG,KH000203,ACTIVE,SCHEDULED_TRUCK,
BINH_DUONG,THỨ 5,E40,LONG THÀNH,YAGAMI LONG THÀNH,KH000128,ACTIVE,SCHEDULED_TRUCK,
BINH_DUONG,THỨ 6,F40,PHƯỚC ĐÔNG,YAGAMI PHƯỚC ĐÔNG,KH000177,ACTIVE,SCHEDULED_TRUCK,
BINH_DUONG,THỨ 2,B41,PHƯỚC LONG,YAGAMI PHƯỚC LONG - BÌNH PHƯỚC,KH000185,ACTIVE,SCHEDULED_TRUCK,
BINH_DUONG,THỨ 3,C41,LONG HẢI,YAGAMI LONG HẢI,KH000123,ACTIVE,SCHEDULED_TRUCK,
BINH_DUONG,THỨ 4,D41,HẬU NGHĨA,YAGAMI HẬU NGHĨA,KH000142,ACTIVE,SCHEDULED_TRUCK,
BINH_DUONG,THỨ 5,E41,TAM PHƯỚC,YAGAMI TAM PHƯỚC,KH000192,ACTIVE,SCHEDULED_TRUCK,
BINH_DUONG,THỨ 6,F41,HÒA THÀNH,YAGAMI HOÀ THÀNH,KH000129,ACTIVE,SCHEDULED_TRUCK,
BINH_DUONG,THỨ 2,B42,ĐỒNG XOÀI,YAGAMI ĐỒNG XOÀI,KH000171,ACTIVE,SCHEDULED_TRUCK,
BINH_DUONG,THỨ 3,C42,VŨNG TÀU,YAGAMI VŨNG TÀU,KH000132,ACTIVE,SCHEDULED_TRUCK,
BINH_DUONG,THỨ 4,D42,MỸ HẠNH NAM,YAGAMI MỸ HẠNH NAM,KH000194,ACTIVE,SCHEDULED_TRUCK,
BINH_DUONG,THỨ 5,E42,AN TÂY,YAGAMI AN TÂY,KH000158,ACTIVE,SCHEDULED_TRUCK,
BINH_DUONG,THỨ 6,F42,TÂY NINH,YAGAMI TÂY NINH,KH000072,ACTIVE,SCHEDULED_TRUCK,
BINH_DUONG,THỨ 2,B43,DODO,Dodo Pizza,KH000126,ACTIVE,SCHEDULED_TRUCK,
BINH_DUONG,THỨ 3,C43,BÀ RỊA,YAGAMI BÀ RỊA - VŨNG TÀU,KH000063,ACTIVE,SCHEDULED_TRUCK,
BINH_DUONG,THỨ 4,D43,ĐỨC HÒA,YAGAMI ĐỨC HÒA,KH000109,ACTIVE,SCHEDULED_TRUCK,
BINH_DUONG,THỨ 5,E43,MỸ PHƯỚC 1,YAGAMI MỸ PHƯỚC 1,KH000167,ACTIVE,SCHEDULED_TRUCK,
BINH_DUONG,THỨ 6,F43,DƯƠNG MINH CHÂU,YAGAMI DƯƠNG MINH CHÂU,KH000166,ACTIVE,SCHEDULED_TRUCK,
BINH_DUONG,,,YAGAMI THUẬN GIAO,YAGAMI THUẬN GIAO,KH000155,ACTIVE,UNSPECIFIED,Warehouse ownership confirmed directly by user on 2026-06-20; branch was absent from the 2025 vehicle-route sheet.
BINH_DUONG,,,YAGAMI PHƯỚC THIỀN,YAGAMI PHƯỚC THIỀN,KH000221,ACTIVE,UNSPECIFIED,Warehouse ownership confirmed directly by user on 2026-06-20; branch was absent from the 2025 vehicle-route sheet.
BINH_DUONG,,,YAGAMI QUẬN 12,YAGAMI QUẬN 12,KH000120,ACTIVE,UNSPECIFIED,Warehouse ownership confirmed directly by user on 2026-06-20; branch was absent from the 2025 vehicle-route sheet.
BINH_DUONG,,,YAGAMI THỦ ĐỨC,YAGAMI THỦ ĐỨC,KH000007,ACTIVE,UNSPECIFIED,Warehouse ownership confirmed directly by user on 2026-06-20; branch was absent from the 2025 vehicle-route sheet.
BINH_DUONG,,,CHIBA PHƯỚC THIỀN,CHIBA PHƯỚC THIỀN,KH000222,ACTIVE,UNSPECIFIED,Warehouse ownership confirmed directly by user on 2026-06-20; branch was absent from the 2025 vehicle-route sheet.
BINH_DUONG,,,YAGAMI TUY HÒA,YAGAMI TUY HÒA,KH000208,ACTIVE,UNSPECIFIED,Warehouse ownership confirmed directly by user on 2026-06-20; branch was absent from the 2025 vehicle-route sheet.
CAO_LANH,,,QU?N L?U A LONG,QU?N L?U A LONG,KH000215,ACTIVE,UNSPECIFIED,Warehouse ownership confirmed directly by user on 2026-06-23 after website-channel invoice review; customer was absent from the 2025 vehicle-route sheet.
BINH_DUONG,,,YAGAMI PH? CH?NH,YAGAMI PH? CH?NH,KH000179,ACTIVE,UNSPECIFIED,Warehouse ownership confirmed directly by user on 2026-06-23 after website-channel invoice review; customer was absent from the 2025 vehicle-route sheet.
BINH_DUONG,,,YAGAMI TH? D?U M?T,YAGAMI TH? D?U M?T,KH000152,ACTIVE,UNSPECIFIED,Warehouse ownership confirmed directly by user on 2026-06-23 after website-channel invoice review; customer was absent from the 2025 vehicle-route sheet.
BINH_DUONG,,,YAGAMI T?N UY?N,YAGAMI T?N UY?N,KH000148,ACTIVE,UNSPECIFIED,Warehouse ownership confirmed directly by user on 2026-06-23 after website-channel invoice review; customer was absent from the 2025 vehicle-route sheet.
BINH_DUONG,,,YAGAMI T?N CH?U - TN,YAGAMI T?N CH?U - TN,KH000087,ACTIVE,UNSPECIFIED,Warehouse ownership confirmed directly by user on 2026-06-23 after website-channel invoice review; customer was absent from the 2025 vehicle-route sheet.
BINH_DUONG,,,YAGAMI T?N BI?N,YAGAMI T?N BI?N,KH000207,ACTIVE,UNSPECIFIED,Warehouse ownership confirmed directly by user on 2026-06-23 after website-channel invoice review; customer was absent from the 2025 vehicle-route sheet.
BINH_DUONG,,,YAGAMI B?N L?C,YAGAMI B?N L?C,KH000168,ACTIVE,UNSPECIFIED,Warehouse ownership confirmed directly by user on 2026-06-23 after website-channel invoice review; customer was absent from the 2025 vehicle-route sheet.
BINH_DUONG,,,YAGAMI M?I N?,YAGAMI M?I N?,KH000220,ACTIVE,UNSPECIFIED,Warehouse ownership confirmed directly by user on 2026-06-23 after website-channel invoice review; customer was absent from the 2025 vehicle-route sheet.
BINH_DUONG,,,YAGAMI V?NH T?N,YAGAMI V?NH T?N,KH000156,ACTIVE,UNSPECIFIED,Warehouse ownership confirmed directly by user on 2026-06-23 after website-channel invoice review; customer was absent from the 2025 vehicle-route sheet.
BINH_DUONG,,,YAGAMI TR?NG D?I,YAGAMI TR?NG D?I,KH000210,ACTIVE,UNSPECIFIED,Warehouse ownership confirmed directly by user on 2026-06-23 after website-channel invoice review; customer was absent from the 2025 vehicle-route sheet.
BINH_DUONG,,,YAGAMI H?I NGH?A,YAGAMI H?I NGH?A,KH000201,ACTIVE,UNSPECIFIED,Warehouse ownership confirmed directly by user on 2026-06-23 after website-channel invoice review; customer was absent from the 2025 vehicle-route sheet.
